cod_uf,sigla_uf,uf,regiao,cod_municipio,municipio,cod_cid,hierarquia,cod_hierarquia
11,RO,Rondônia,Norte,1100015,Alta Floresta D'Oeste,1100015,Centro Local (5),5
11,RO,Rondônia,Norte,1100023,Ariquemes,1100023,Centro Sub-Regional A (3A),3A
11,RO,Rondônia,Norte,1100031,Cabixi,1100031,Centro Local (5),5
11,RO,Rondônia,Norte,1100049,Cacoal,1100049,Capital Regional C (2C),2C
11,RO,Rondônia,Norte,1100056,Cerejeiras,1100056,Centro de Zona B (4B),4B
11,RO,Rondônia,Norte,1100064,Colorado do Oeste,1100064,Centro de Zona B (4B),4B
11,RO,Rondônia,Norte,1100072,Corumbiara,1100072,Centro Local (5),5
11,RO,Rondônia,Norte,1100080,Costa Marques,1100080,Centro Local (5),5
11,RO,Rondônia,Norte,1100098,Espigão D'Oeste,1100098,Centro Local (5),5
11,RO,Rondônia,Norte,1100106,Guajará-Mirim,1100106,Centro Sub-Regional B (3B),3B
11,RO,Rondônia,Norte,1100114,Jaru,1100114,Centro Sub-Regional B (3B),3B
11,RO,Rondônia,Norte,1100122,Ji-Paraná,1100122,Capital Regional C (2C),2C
11,RO,Rondônia,Norte,1100130,Machadinho D'Oeste,1100130,Centro de Zona B (4B),4B
11,RO,Rondônia,Norte,1100148,Nova Brasilândia D'Oeste,1100148,Centro Local (5),5
11,RO,Rondônia,Norte,1100155,Ouro Preto do Oeste,1100155,Centro Sub-Regional B (3B),3B
11,RO,Rondônia,Norte,1100189,Pimenta Bueno,1100189,Centro Sub-Regional B (3B),3B
11,RO,Rondônia,Norte,1100205,Porto Velho,1100205,Capital Regional B (2B) - Município integrante do Arranjo Populacional de Porto Velho/RO,2B - Integrante de Arranjo Populacional
11,RO,Rondônia,Norte,1100254,Presidente Médici,1100254,Centro Local (5),5
11,RO,Rondônia,Norte,1100262,Rio Crespo,1100262,Centro Local (5),5
11,RO,Rondônia,Norte,1100288,Rolim de Moura,1100288,Centro Sub-Regional B (3B),3B
11,RO,Rondônia,Norte,1100296,Santa Luzia D'Oeste,1100296,Centro Local (5),5
11,RO,Rondônia,Norte,1100304,Vilhena,1100304,Centro Sub-Regional A (3A),3A
11,RO,Rondônia,Norte,1100320,São Miguel do Guaporé,1100320,Centro Local (5),5
11,RO,Rondônia,Norte,1100338,Nova Mamoré,1100338,Centro Local (5),5
11,RO,Rondônia,Norte,1100346,Alvorada D'Oeste,1100346,Centro Local (5),5
11,RO,Rondônia,Norte,1100379,Alto Alegre dos Parecis,1100379,Centro Local (5),5
11,RO,Rondônia,Norte,1100403,Alto Paraíso,1100403,Centro Local (5),5
11,RO,Rondônia,Norte,1100452,Buritis,1100452,Centro Local (5),5
11,RO,Rondônia,Norte,1100502,Novo Horizonte do Oeste,1100502,Centro Local (5),5
11,RO,Rondônia,Norte,1100601,Cacaulândia,1100601,Centro Local (5),5
11,RO,Rondônia,Norte,1100700,Campo Novo de Rondônia,1100700,Centro Local (5),5
11,RO,Rondônia,Norte,1100809,Candeias do Jamari,1100205,Capital Regional B (2B) - Município integrante do Arranjo Populacional de Porto Velho/RO,2B - Integrante de Arranjo Populacional
11,RO,Rondônia,Norte,1100908,Castanheiras,1100908,Centro Local (5),5
11,RO,Rondônia,Norte,1100924,Chupinguaia,1100924,Centro Local (5),5
11,RO,Rondônia,Norte,1100940,Cujubim,1100940,Centro Local (5),5
11,RO,Rondônia,Norte,1101005,Governador Jorge Teixeira,1101005,Centro Local (5),5
11,RO,Rondônia,Norte,1101104,Itapuã do Oeste,1101104,Centro Local (5),5
11,RO,Rondônia,Norte,1101203,Ministro Andreazza,1101203,Centro Local (5),5
11,RO,Rondônia,Norte,1101302,Mirante da Serra,1101302,Centro Local (5),5
11,RO,Rondônia,Norte,1101401,Monte Negro,1101401,Centro Local (5),5
11,RO,Rondônia,Norte,1101435,Nova União,1101435,Centro Local (5),5
11,RO,Rondônia,Norte,1101450,Parecis,1101450,Centro Local (5),5
11,RO,Rondônia,Norte,1101468,Pimenteiras do Oeste,1101468,Centro Local (5),5
11,RO,Rondônia,Norte,1101476,Primavera de Rondônia,1101476,Centro Local (5),5
11,RO,Rondônia,Norte,1101484,São Felipe D'Oeste,1101484,Centro Local (5),5
11,RO,Rondônia,Norte,1101492,São Francisco do Guaporé,1101492,Centro Local (5),5
11,RO,Rondônia,Norte,1101500,Seringueiras,1101500,Centro Local (5),5
11,RO,Rondônia,Norte,1101559,Teixeirópolis,1101559,Centro Local (5),5
11,RO,Rondônia,Norte,1101609,Theobroma,1101609,Centro Local (5),5
11,RO,Rondônia,Norte,1101708,Urupá,1101708,Centro Local (5),5
11,RO,Rondônia,Norte,1101757,Vale do Anari,1101757,Centro Local (5),5
11,RO,Rondônia,Norte,1101807,Vale do Paraíso,1101807,Centro Local (5),5
12,AC,Acre,Norte,1200013,Acrelândia,1200013,Centro Local (5),5
12,AC,Acre,Norte,1200054,Assis Brasil,1200054,Centro Local (5),5
12,AC,Acre,Norte,1200104,Brasiléia,1200104,Centro Sub-Regional B (3B) - Município integrante do Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil,3B - Integrante de Arranjo Populacional
12,AC,Acre,Norte,1200138,Bujari,1200138,Centro Local (5),5
12,AC,Acre,Norte,1200179,Capixaba,1200179,Centro Local (5),5
12,AC,Acre,Norte,1200203,Cruzeiro do Sul,1200203,Centro Sub-Regional B (3B),3B
12,AC,Acre,Norte,1200252,Epitaciolândia,1200104,Centro Sub-Regional B (3B) - Município integrante do Arranjo Populacional Internacional de Cobija/Bolívia - Brasiléia/Brasil,3B - Integrante de Arranjo Populacional
12,AC,Acre,Norte,1200302,Feijó,1200302,Centro Local (5),5
12,AC,Acre,Norte,1200328,Jordão,1200328,Centro Local (5),5
12,AC,Acre,Norte,1200336,Mâncio Lima,1200336,Centro Local (5),5
12,AC,Acre,Norte,1200344,Manoel Urbano,1200344,Centro Local (5),5
12,AC,Acre,Norte,1200351,Marechal Thaumaturgo,1200351,Centro Local (5),5
12,AC,Acre,Norte,1200385,Plácido de Castro,1200385,Centro Local (5),5
12,AC,Acre,Norte,1200393,Porto Walter,1200393,Centro Local (5),5
12,AC,Acre,Norte,1200401,Rio Branco,1200401,Capital Regional C (2C),2C
12,AC,Acre,Norte,1200427,Rodrigues Alves,1200427,Centro Local (5),5
12,AC,Acre,Norte,1200435,Santa Rosa do Purus,1200435,Centro Local (5),5
12,AC,Acre,Norte,1200450,Senador Guiomard,1200450,Centro Local (5),5
12,AC,Acre,Norte,1200500,Sena Madureira,1200500,Centro Local (5),5
12,AC,Acre,Norte,1200609,Tarauacá,1200609,Centro Local (5),5
12,AC,Acre,Norte,1200708,Xapuri,1200708,Centro Local (5),5
12,AC,Acre,Norte,1200807,Porto Acre,1200807,Centro Local (5),5
13,AM,Amazonas,Norte,1300029,Alvarães,1300029,Centro Local (5),5
13,AM,Amazonas,Norte,1300060,Amaturá,1300060,Centro Local (5),5
13,AM,Amazonas,Norte,1300086,Anamã,1300086,Centro Local (5),5
13,AM,Amazonas,Norte,1300102,Anori,1300102,Centro Local (5),5
13,AM,Amazonas,Norte,1300144,Apuí,1300144,Centro Local (5),5
13,AM,Amazonas,Norte,1300201,Atalaia do Norte,1300201,Centro Local (5),5
13,AM,Amazonas,Norte,1300300,Autazes,1300300,Centro Local (5),5
13,AM,Amazonas,Norte,1300409,Barcelos,1300409,Centro Local (5),5
13,AM,Amazonas,Norte,1300508,Barreirinha,1300508,Centro Local (5),5
13,AM,Amazonas,Norte,1300607,Benjamin Constant,1300607,Centro Local (5),5
13,AM,Amazonas,Norte,1300631,Beruri,1300631,Centro Local (5),5
13,AM,Amazonas,Norte,1300680,Boa Vista do Ramos,1300680,Centro Local (5),5
13,AM,Amazonas,Norte,1300706,Boca do Acre,1300706,Centro Local (5),5
13,AM,Amazonas,Norte,1300805,Borba,1300805,Centro Local (5),5
13,AM,Amazonas,Norte,1300839,Caapiranga,1300839,Centro Local (5),5
13,AM,Amazonas,Norte,1300904,Canutama,1300904,Centro Local (5),5
13,AM,Amazonas,Norte,1301001,Carauari,1301001,Centro Local (5),5
13,AM,Amazonas,Norte,1301100,Careiro,1301100,Centro Local (5),5
13,AM,Amazonas,Norte,1301159,Careiro da Várzea,1301159,Centro Local (5),5
13,AM,Amazonas,Norte,1301209,Coari,1301209,Centro Local (5),5
13,AM,Amazonas,Norte,1301308,Codajás,1301308,Centro Local (5),5
13,AM,Amazonas,Norte,1301407,Eirunepé,1301407,Centro de Zona B (4B),4B
13,AM,Amazonas,Norte,1301506,Envira,1301506,Centro Local (5),5
13,AM,Amazonas,Norte,1301605,Fonte Boa,1301605,Centro Local (5),5
13,AM,Amazonas,Norte,1301654,Guajará,1301654,Centro Local (5),5
13,AM,Amazonas,Norte,1301704,Humaitá,1301704,Centro Local (5),5
13,AM,Amazonas,Norte,1301803,Ipixuna,1301803,Centro Local (5),5
13,AM,Amazonas,Norte,1301852,Iranduba,1301852,Centro Local (5),5
13,AM,Amazonas,Norte,1301902,Itacoatiara,1301902,Centro Sub-Regional B (3B),3B
13,AM,Amazonas,Norte,1301951,Itamarati,1301951,Centro Local (5),5
13,AM,Amazonas,Norte,1302009,Itapiranga,1302009,Centro Local (5),5
13,AM,Amazonas,Norte,1302108,Japurá,1302108,Centro Local (5),5
13,AM,Amazonas,Norte,1302207,Juruá,1302207,Centro Local (5),5
13,AM,Amazonas,Norte,1302306,Jutaí,1302306,Centro Local (5),5
13,AM,Amazonas,Norte,1302405,Lábrea,1302405,Centro Local (5),5
13,AM,Amazonas,Norte,1302504,Manacapuru,1302504,Centro Sub-Regional B (3B),3B
13,AM,Amazonas,Norte,1302553,Manaquiri,1302553,Centro Local (5),5
13,AM,Amazonas,Norte,1302603,Manaus,1302603,Metrópole (1C),1C
13,AM,Amazonas,Norte,1302702,Manicoré,1302702,Centro Local (5),5
13,AM,Amazonas,Norte,1302801,Maraã,1302801,Centro Local (5),5
13,AM,Amazonas,Norte,1302900,Maués,1302900,Centro Local (5),5
13,AM,Amazonas,Norte,1303007,Nhamundá,1303007,Centro Local (5) - Município integrante do Arranjo Populacional de Nhamundá/AM,5 - Integrante de Arranjo Populacional
13,AM,Amazonas,Norte,1303106,Nova Olinda do Norte,1303106,Centro Local (5),5
13,AM,Amazonas,Norte,1303205,Novo Airão,1303205,Centro Local (5),5
13,AM,Amazonas,Norte,1303304,Novo Aripuanã,1303304,Centro Local (5),5
13,AM,Amazonas,Norte,1303403,Parintins,1303403,Centro Sub-Regional B (3B),3B
13,AM,Amazonas,Norte,1303502,Pauini,1303502,Centro Local (5),5
13,AM,Amazonas,Norte,1303536,Presidente Figueiredo,1303536,Centro Local (5),5
13,AM,Amazonas,Norte,1303569,Rio Preto da Eva,1303569,Centro Local (5),5
13,AM,Amazonas,Norte,1303601,Santa Isabel do Rio Negro,1303601,Centro Local (5),5
13,AM,Amazonas,Norte,1303700,Santo Antônio do Içá,1303700,Centro Local (5),5
13,AM,Amazonas,Norte,1303809,São Gabriel da Cachoeira,1303809,Centro Local (5),5
13,AM,Amazonas,Norte,1303908,São Paulo de Olivença,1303908,Centro Local (5),5
13,AM,Amazonas,Norte,1303957,São Sebastião do Uatumã,1303957,Centro Local (5),5
13,AM,Amazonas,Norte,1304005,Silves,1304005,Centro Local (5),5
13,AM,Amazonas,Norte,1304062,Tabatinga,1304062,Centro Sub-Regional B (3B),3B
13,AM,Amazonas,Norte,1304104,Tapauá,1304104,Centro Local (5),5
13,AM,Amazonas,Norte,1304203,Tefé,1304203,Centro de Zona B (4B),4B
13,AM,Amazonas,Norte,1304237,Tonantins,1304237,Centro Local (5),5
13,AM,Amazonas,Norte,1304260,Uarini,1304260,Centro Local (5),5
13,AM,Amazonas,Norte,1304302,Urucará,1304302,Centro Local (5),5
13,AM,Amazonas,Norte,1304401,Urucurituba,1304401,Centro Local (5),5
14,RR,Roraima,Norte,1400027,Amajari,1400027,Centro Local (5),5
14,RR,Roraima,Norte,1400050,Alto Alegre,1400050,Centro Local (5),5
14,RR,Roraima,Norte,1400100,Boa Vista,1400100,Capital Regional C (2C),2C
14,RR,Roraima,Norte,1400159,Bonfim,1400159,Centro Local (5),5
14,RR,Roraima,Norte,1400175,Cantá,1400175,Centro Local (5),5
14,RR,Roraima,Norte,1400209,Caracaraí,1400209,Centro Local (5),5
14,RR,Roraima,Norte,1400233,Caroebe,1400233,Centro Local (5),5
14,RR,Roraima,Norte,1400282,Iracema,1400282,Centro Local (5),5
14,RR,Roraima,Norte,1400308,Mucajaí,1400308,Centro Local (5),5
14,RR,Roraima,Norte,1400407,Normandia,1400407,Centro Local (5),5
14,RR,Roraima,Norte,1400456,Pacaraima,1400456,Centro Local (5),5
14,RR,Roraima,Norte,1400472,Rorainópolis,1400472,Centro Local (5),5
14,RR,Roraima,Norte,1400506,São João da Baliza,1400506,Centro Local (5),5
14,RR,Roraima,Norte,1400605,São Luiz,1400605,Centro Local (5),5
14,RR,Roraima,Norte,1400704,Uiramutã,1400704,Centro Local (5),5
15,PA,Pará,Norte,1500107,Abaetetuba,1500107,Centro Sub-Regional B (3B),3B
15,PA,Pará,Norte,1500131,Abel Figueiredo,1500131,Centro Local (5),5
15,PA,Pará,Norte,1500206,Acará,1500206,Centro Local (5),5
