,sigla_uf_residencia,idade_paciente,sexo_paciente,raca_cor_paciente,gestante_paciente,possui_doenca_autoimune,possui_diabetes,possui_doencas_hematologicas,possui_hepatopatias,possui_doenca_renal,possui_hipertensao,possui_doenca_acido_peptica,apresenta_febre,apresenta_cefaleia,apresenta_exantema,apresenta_dor_costas,apresenta_mialgia,apresenta_vomito,apresenta_conjutivite,apresenta_dor_retroorbital,apresenta_artralgia,apresenta_artrite,apresenta_leucopenia,apresenta_petequias,prova_laco,dias_sintomas_notificacao,class
count,422755,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755.0,422755
unique,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
top,SE,,,,,,,,,,,,,,,,,,,,,,,,,,low_risk
freq,157280,,,,,,,,,,,,,,,,,,,,,,,,,,422755
mean,,33.95830445529917,0.45961372426109687,3.727305413300848,5.863410249435252,0.0050762261830138026,0.03269269435015553,0.005177939941573725,0.0052654610826601694,0.004676467457510851,0.07832905583612258,0.005447599673569798,0.8351219973743658,0.7697839173989663,0.22736809736135588,0.32056628543719173,0.7463164244065712,0.1980390533524145,0.0500810161914111,0.34186703882863595,0.20833816276566805,0.12437227235632932,0.05256708968551525,0.1270759659850268,0.04928859504914194,5.203392035576161,
std,,19.1220827703752,0.4983668691177661,2.876450130916209,1.0863096684856084,0.07106665925254693,0.17783125959947732,0.07177145020292511,0.07237229022082314,0.06822469582058109,0.26868901283405944,0.07360663113571264,0.37107084577096994,0.4209715633015108,0.41913274890560254,0.466694822426609,0.4351191410550138,0.39852222319237046,0.2181124034519674,0.4743358502172468,0.4061203797415181,0.33000616332256844,0.22316789324515468,0.33305844419101416,0.2164701833740749,10.212639186688193,
min,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,,19.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
50%,,33.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
75%,,47.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
max,,120.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.0,
