,sigla_uf_residencia,idade_paciente,sexo_paciente,raca_cor_paciente,gestante_paciente,possui_doenca_autoimune,possui_diabetes,possui_doencas_hematologicas,possui_hepatopatias,possui_doenca_renal,possui_hipertensao,possui_doenca_acido_peptica,apresenta_febre,apresenta_cefaleia,apresenta_exantema,apresenta_dor_costas,apresenta_mialgia,apresenta_vomito,apresenta_conjutivite,apresenta_dor_retroorbital,apresenta_artralgia,apresenta_artrite,apresenta_leucopenia,apresenta_petequias,prova_laco,dias_sintomas_notificacao,class
count,25765,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765.0,25765
unique,5,,,,,,,,,,,,,,,,,,,,,,,,,,1
top,SE,,,,,,,,,,,,,,,,,,,,,,,,,,severe
freq,14393,,,,,,,,,,,,,,,,,,,,,,,,,,25765
mean,,52.932621773724044,0.47723656122647,3.040830584125752,5.755171744614787,0.029497380166893072,0.1971278866679604,0.032097807102658645,0.025499708907432563,0.053366970696681545,0.3592082282165729,0.008888026392392782,0.7930137783815253,0.588162235590918,0.11717446147875024,0.228410634581797,0.727459732194838,0.4418785173685232,0.027207451969726373,0.2110615175625849,0.18443625072773143,0.07378226275955754,0.19076266252668347,0.12090044634193674,0.018280613235008732,7.69800116437027,
std,,25.4365265954875,0.4994912503788892,2.5988682271635795,0.9282107500957482,0.1691992785601741,0.39783743661795934,0.1762632795921389,0.15764021776432977,0.22476854310540798,0.47977766838362873,0.09385825105751301,0.4051534236524211,0.4921756007707721,0.32163429876064314,0.41981669465856153,0.4452749325347942,0.4966200414820066,0.16269060766126975,0.4080698671029972,0.3878470813422959,0.2614212939672879,0.39290999083037265,0.32601787326626297,0.133966895107988,19.889829252150626,
min,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
25%,,33.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
50%,,56.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,
75%,,74.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,
max,,117.0,1.0,9.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,365.0,
