Cramér's V Correlation Results:
apresenta_leucopenia - severity: 0.2022
prova_laco - apresenta_petequias: 0.2015
apresenta_vomito - severity: 0.1809
possui_hipertensao - severity: 0.1712
apresenta_cefaleia - severity: 0.1608
sigla_uf_residencia - severity: 0.1600
idade_paciente - severity: 0.1585
possui_diabetes - severity: 0.1405
apresenta_exantema - severity: 0.1284
apresenta_dor_costas - severity: 0.1250
prova_laco - apresenta_exantema: 0.1220
apresenta_febre - severity: 0.1093
possui_doenca_renal - severity: 0.0931
apresenta_artrite - severity: 0.0918
prova_laco - apresenta_dor_retroorbital: 0.0902
prova_laco - severity: 0.0857
apresenta_dor_retroorbital - severity: 0.0849
prova_laco - apresenta_dor_costas: 0.0846
dias_sintomas_notificacao - severity: 0.0819
possui_hipertensao - apresenta_leucopenia: 0.0753
prova_laco - apresenta_artrite: 0.0727
prova_laco - apresenta_conjutivite: 0.0709
apresenta_mialgia - severity: 0.0694
possui_hipertensao - apresenta_dor_costas: 0.0685
possui_hipertensao - apresenta_mialgia: 0.0666
raca_cor_paciente - severity: 0.0644
prova_laco - apresenta_leucopenia: 0.0549
possui_doencas_hematologicas - severity: 0.0547
possui_doenca_autoimune - severity: 0.0532
prova_laco - apresenta_cefaleia: 0.0529
apresenta_conjutivite - severity: 0.0515
possui_diabetes - apresenta_leucopenia: 0.0504
possui_hipertensao - apresenta_artralgia: 0.0491
apresenta_petequias - severity: 0.0485
possui_hipertensao - apresenta_vomito: 0.0450
possui_hipertensao - apresenta_artrite: 0.0433
possui_hepatopatias - severity: 0.0422
possui_doencas_hematologicas - apresenta_leucopenia: 0.0404
possui_hepatopatias - apresenta_leucopenia: 0.0391
prova_laco - apresenta_mialgia: 0.0386
possui_diabetes - apresenta_dor_costas: 0.0374
possui_doenca_renal - apresenta_leucopenia: 0.0366
possui_diabetes - apresenta_mialgia: 0.0361
possui_doenca_autoimune - apresenta_leucopenia: 0.0344
possui_diabetes - apresenta_vomito: 0.0339
possui_doenca_acido_peptica - apresenta_conjutivite: 0.0331
prova_laco - apresenta_artralgia: 0.0309
possui_doenca_acido_peptica - apresenta_artrite: 0.0305
possui_hepatopatias - apresenta_conjutivite: 0.0286
possui_doenca_acido_peptica - apresenta_leucopenia: 0.0283
possui_diabetes - apresenta_artralgia: 0.0276
possui_doencas_hematologicas - apresenta_conjutivite: 0.0275
prova_laco - apresenta_febre: 0.0268
possui_diabetes - apresenta_artrite: 0.0253
possui_hepatopatias - apresenta_artrite: 0.0240
possui_doenca_autoimune - apresenta_artrite: 0.0231
apresenta_artralgia - severity: 0.0231
gestante_paciente - severity: 0.0228
possui_doenca_renal - apresenta_vomito: 0.0228
possui_hipertensao - apresenta_conjutivite: 0.0224
possui_diabetes - apresenta_exantema: 0.0224
possui_hipertensao - apresenta_exantema: 0.0221
possui_doenca_acido_peptica - apresenta_dor_costas: 0.0219
possui_doencas_hematologicas - apresenta_artrite: 0.0218
possui_doencas_hematologicas - apresenta_petequias: 0.0216
possui_doenca_autoimune - apresenta_conjutivite: 0.0215
possui_doenca_autoimune - apresenta_vomito: 0.0204
possui_hepatopatias - apresenta_vomito: 0.0202
possui_doenca_autoimune - apresenta_artralgia: 0.0201
possui_doenca_acido_peptica - apresenta_artralgia: 0.0199
possui_hepatopatias - apresenta_petequias: 0.0198
possui_hepatopatias - apresenta_dor_costas: 0.0193
possui_doenca_renal - apresenta_conjutivite: 0.0191
possui_doenca_acido_peptica - apresenta_dor_retroorbital: 0.0188
possui_doenca_acido_peptica - apresenta_petequias: 0.0183
possui_doenca_autoimune - apresenta_dor_costas: 0.0179
sexo_paciente - severity: 0.0175
possui_doencas_hematologicas - apresenta_vomito: 0.0174
possui_hepatopatias - apresenta_artralgia: 0.0171
possui_doenca_autoimune - apresenta_petequias: 0.0167
possui_doencas_hematologicas - apresenta_artralgia: 0.0161
prova_laco - apresenta_vomito: 0.0160
possui_doenca_autoimune - apresenta_mialgia: 0.0158
possui_doencas_hematologicas - apresenta_dor_costas: 0.0157
possui_doenca_acido_peptica - apresenta_exantema: 0.0155
possui_doenca_renal - apresenta_artrite: 0.0146
possui_doenca_acido_peptica - apresenta_vomito: 0.0142
possui_diabetes - apresenta_conjutivite: 0.0141
possui_doenca_acido_peptica - apresenta_mialgia: 0.0138
possui_hepatopatias - apresenta_mialgia: 0.0135
possui_doenca_renal - apresenta_cefaleia: 0.0132
possui_doenca_acido_peptica - apresenta_cefaleia: 0.0129
possui_doenca_autoimune - apresenta_dor_retroorbital: 0.0126
possui_doenca_renal - apresenta_artralgia: 0.0125
possui_doencas_hematologicas - apresenta_mialgia: 0.0124
possui_doenca_acido_peptica - apresenta_febre: 0.0111
possui_doencas_hematologicas - apresenta_febre: 0.0110
possui_diabetes - apresenta_cefaleia: 0.0107
possui_hepatopatias - apresenta_dor_retroorbital: 0.0105
possui_doenca_renal - apresenta_dor_costas: 0.0103
possui_doencas_hematologicas - apresenta_dor_retroorbital: 0.0088
possui_doenca_acido_peptica - severity: 0.0085
possui_doenca_renal - apresenta_petequias: 0.0077
possui_doenca_autoimune - apresenta_febre: 0.0075
possui_hepatopatias - apresenta_exantema: 0.0067
possui_hipertensao - apresenta_dor_retroorbital: 0.0067
possui_doencas_hematologicas - apresenta_exantema: 0.0064
possui_doenca_autoimune - apresenta_exantema: 0.0061
possui_hepatopatias - apresenta_febre: 0.0061
possui_diabetes - apresenta_febre: 0.0059
possui_doenca_renal - apresenta_mialgia: 0.0058
possui_hipertensao - apresenta_petequias: 0.0054
possui_doenca_renal - apresenta_exantema: 0.0053
possui_hipertensao - apresenta_febre: 0.0052
possui_hepatopatias - apresenta_cefaleia: 0.0051
possui_hipertensao - apresenta_cefaleia: 0.0050
possui_doenca_autoimune - apresenta_cefaleia: 0.0048
possui_diabetes - apresenta_dor_retroorbital: 0.0041
possui_diabetes - apresenta_petequias: 0.0040
possui_doenca_renal - apresenta_dor_retroorbital: 0.0034
possui_doenca_renal - apresenta_febre: 0.0024
possui_doencas_hematologicas - apresenta_cefaleia: 0.0018
