iter	Logloss
0	0.6895324258
1	0.6861418592
2	0.6828075825
3	0.6798095092
4	0.6769476962
5	0.6742049193
6	0.6715367037
7	0.6689135265
8	0.6664223595
9	0.6641933494
10	0.6621516751
11	0.6601886535
12	0.6581356666
13	0.6562241155
14	0.6545786344
15	0.6528734891
16	0.6514066277
17	0.6498842145
18	0.6483844273
19	0.6471979962
20	0.6459118193
21	0.6447128194
22	0.6435345702
23	0.6423502184
24	0.6412226677
25	0.6401388399
26	0.6390268882
27	0.638106864
28	0.6371491329
29	0.6363653117
30	0.6355347363
31	0.6347405487
32	0.6339575489
33	0.6333496725
34	0.6326211509
35	0.6320382793
36	0.6313422355
37	0.6305730421
38	0.6300067169
39	0.6294594334
40	0.6287878581
41	0.6282124371
42	0.6280040957
43	0.6274506082
44	0.6268685986
45	0.6263831956
46	0.6259512269
47	0.6254897571
48	0.6251535408
49	0.6247674977
50	0.6243005418
51	0.62381704
52	0.6235158469
53	0.6231765603
54	0.6230965686
55	0.6228185739
56	0.6225011721
57	0.622096522
58	0.6217103817
59	0.6213839275
60	0.621071944
61	0.620906541
62	0.6205666997
63	0.6202271978
64	0.6199163582
65	0.6195453078
66	0.6192303771
67	0.6190102262
68	0.6187559407
69	0.6183906987
70	0.6182505733
71	0.6180250545
72	0.6177442186
73	0.6174551087
74	0.6171730656
75	0.6168823882
76	0.6168558217
77	0.6166603226
78	0.6164085089
79	0.6161368119
80	0.6158922473
81	0.6155771256
82	0.61537433
83	0.6152058648
84	0.6150363011
85	0.6149397438
86	0.6147383576
87	0.6145096484
88	0.6142946737
89	0.6141923458
90	0.6140034216
91	0.6139505687
92	0.613767283
93	0.6135336018
94	0.6134688413
95	0.6133299634
96	0.6130745347
97	0.6128665654
98	0.6127323665
99	0.6125496885
100	0.6124030495
101	0.6123900011
102	0.6121882145
103	0.6120462298
104	0.6118521858
105	0.6116688433
106	0.611452397
107	0.6113381129
108	0.6111649124
109	0.6109851642
110	0.6108476605
111	0.6108056299
112	0.6107169222
113	0.6105795567
114	0.6104572267
115	0.6102861585
116	0.6101778056
117	0.6101308568
118	0.6100201502
119	0.609878238
120	0.6097374622
121	0.6096983366
122	0.6096816462
123	0.60947412
124	0.6093434121
125	0.6092948019
126	0.609263888
127	0.6090616127
128	0.6089300381
129	0.6088978547
130	0.6088253478
131	0.6087081405
132	0.6086862104
133	0.6085140678
134	0.6083203757
135	0.6082909815
136	0.6082078898
137	0.6080572611
138	0.6079518981
139	0.6079452655
140	0.6078074071
141	0.607706364
142	0.6075581646
143	0.607443224
144	0.6074200976
145	0.6072364578
146	0.6071984449
147	0.6071101572
148	0.6069812508
149	0.6068802081
150	0.6068569301
151	0.6068363739
152	0.6067404682
153	0.6064902167
154	0.6064592548
155	0.6063832934
156	0.6063300068
157	0.606243761
158	0.6061228905
159	0.6059827661
160	0.6058639973
161	0.6057902697
162	0.6056952916
163	0.6056785387
164	0.6055609052
165	0.605536889
166	0.6054943767
167	0.6054503393
168	0.6053510683
169	0.6052123763
170	0.6051574604
171	0.6050675151
172	0.6049370326
173	0.6048471334
174	0.6046809811
175	0.6045780494
176	0.6044551129
177	0.6043634387
178	0.6041852454
179	0.6041807228
180	0.6041722424
181	0.6041064765
182	0.6040229249
183	0.6040078977
184	0.6038662959
185	0.6037911731
186	0.6037734332
187	0.60371955
188	0.6037017151
189	0.6036244585
190	0.6035675849
191	0.6035623188
192	0.60349031
193	0.6034172178
194	0.6033993797
195	0.6032858689
196	0.6031566625
197	0.6031466297
198	0.6030282925
199	0.603022962
200	0.6029239134
201	0.6029057437
202	0.6027963752
203	0.602786345
204	0.6026781074
205	0.6026710047
206	0.6026666391
207	0.602580138
208	0.6024762049
209	0.6023988078
210	0.6023960523
211	0.6023882112
212	0.6022574633
213	0.6021823793
214	0.6021480095
215	0.6020727238
216	0.6019968373
217	0.6019495835
218	0.601939479
219	0.6019308779
220	0.6018939038
221	0.6017704741
222	0.6016781784
223	0.6016381388
224	0.6016276296
225	0.6015983971
226	0.6015025718
227	0.6014070364
228	0.6013595337
229	0.6012709074
230	0.6012690334
231	0.6011122826
232	0.6010404165
233	0.6009961051
234	0.6009040702
235	0.6008397332
236	0.6008129587
237	0.6007308266
238	0.6006799775
239	0.6005812689
240	0.6005040402
241	0.6003820384
242	0.6002867369
243	0.6002271641
244	0.6000575325
245	0.6000560003
246	0.6000024894
247	0.5999919913
248	0.599981901
249	0.5999803388
250	0.599978183
251	0.5999487135
252	0.5999080577
253	0.5998405251
254	0.5998374537
255	0.5997847373
256	0.5996459201
257	0.5995559247
258	0.5995354376
259	0.5995316715
260	0.5994450098
261	0.5994230144
262	0.5994121868
263	0.5993835524
264	0.5993350979
265	0.5993350979
266	0.5992471495
267	0.5992056545
268	0.5991975336
269	0.599083628
270	0.5989948766
271	0.5989596213
272	0.5988881335
273	0.5988301718
274	0.5987914146
275	0.5987481749
276	0.598745594
277	0.5987406094
278	0.5986819512
279	0.5986782213
280	0.5986064286
281	0.598542078
282	0.5985303497
283	0.5985053367
284	0.5984762457
285	0.5984096905
286	0.5983730756
287	0.5983534339
288	0.5983414034
289	0.5983355249
290	0.5983254003
291	0.5983238608
292	0.5982191495
293	0.5982064574
294	0.5981276378
295	0.5981273861
296	0.5981110013
297	0.5980603999
298	0.5980062943
299	0.5978949628
300	0.5978404814
301	0.5977801745
302	0.5977559637
303	0.5977046306
304	0.5977046306
305	0.597631491
306	0.5975957517
307	0.5975201994
308	0.5974829363
309	0.5974544872
310	0.5974508655
311	0.5974457134
312	0.5974251048
313	0.5973707435
314	0.5973508292
315	0.5973007259
316	0.5972857819
317	0.5972729737
318	0.5971458569
319	0.5971273724
320	0.5971207975
321	0.5971037485
322	0.5970444435
323	0.5970132985
324	0.5970132985
325	0.597006137
326	0.5969936064
327	0.5969751562
328	0.5969268236
329	0.596895054
330	0.5968908108
331	0.5968453519
332	0.596784757
333	0.5967741777
334	0.596762762
335	0.5966890929
336	0.5966883425
337	0.5966467796
338	0.5966228195
339	0.5966196175
340	0.5966013049
341	0.5965005554
342	0.5964743355
343	0.5963926175
344	0.5963812857
345	0.5963264341
346	0.596309864
347	0.596309864
348	0.5962756686
349	0.5962756686
350	0.5961998444
351	0.5961242837
352	0.5960982011
353	0.5960951682
354	0.5960936592
355	0.595993564
356	0.5959243015
357	0.59586807
358	0.5958256227
359	0.5958181721
360	0.5958162214
361	0.5957872082
362	0.5957861216
363	0.5957835932
364	0.5957823774
365	0.5957766729
366	0.5957531397
367	0.5956906988
368	0.5956292837
369	0.595559685
370	0.5955582197
371	0.59551316
372	0.5954438639
373	0.5954385041
374	0.5954155405
375	0.5954137785
376	0.595260157
377	0.5951763913
378	0.5951749197
379	0.5950254995
380	0.5949859574
381	0.5949466904
382	0.5949426962
383	0.5949025783
384	0.594814558
385	0.5947370072
386	0.5947015707
387	0.5946890404
388	0.5946479105
389	0.594588805
390	0.5945791571
391	0.594556598
392	0.5944865202
393	0.594456015
394	0.5944108829
395	0.5943637934
396	0.5943135616
397	0.5942722903
398	0.5942406241
399	0.5941310266
400	0.5941279674
401	0.594036381
402	0.5938694778
403	0.5938315699
404	0.5937850962
405	0.593680264
406	0.5936512603
407	0.5935791142
408	0.5934632353
409	0.5934626082
410	0.5933438562
411	0.5932750051
412	0.5932063199
413	0.5932043783
414	0.5931739024
415	0.593061319
416	0.5929433828
417	0.5929078394
418	0.5928331746
419	0.5927508164
420	0.5926419752
421	0.5925240631
422	0.5924847486
423	0.5924253438
424	0.592365854
425	0.5922951476
426	0.5922177608
427	0.5921471111
428	0.5920195679
429	0.5919345193
430	0.5918886719
431	0.591820189
432	0.5917239135
433	0.5916280234
434	0.5915717857
435	0.5914995746
436	0.5914330493
437	0.5913646782
438	0.5913049859
439	0.5912394558
440	0.5911464654
441	0.5910691493
442	0.5909823513
443	0.5909465821
444	0.5907773928
445	0.5907047362
446	0.5906514022
447	0.5905792577
448	0.5905366586
449	0.5904907054
450	0.5904338409
451	0.5903284084
452	0.590266221
453	0.5901369456
454	0.590001614
455	0.5898962059
456	0.5898170423
457	0.5897192127
458	0.5896423941
459	0.5894819858
460	0.5894194863
461	0.5892699919
462	0.5892155949
463	0.5891359834
464	0.589023536
465	0.5889695584
466	0.5889228326
467	0.5887716552
468	0.5887237773
469	0.5886395921
470	0.5885612377
471	0.588457327
472	0.5883931824
473	0.5883753759
474	0.588340437
475	0.5882850757
476	0.5882127389
477	0.5881011941
478	0.5880185792
479	0.5879220222
480	0.5878452341
481	0.5877473079
482	0.587677849
483	0.5875737936
484	0.5874584913
485	0.5873994828
486	0.5873056595
487	0.5872091266
488	0.5871373533
489	0.5870200744
490	0.5869019202
491	0.586817531
492	0.5867326479
493	0.5866477633
494	0.586562731
495	0.5864587967
496	0.586411355
497	0.586326396
498	0.5862913661
499	0.5862307118
500	0.5861283744
501	0.5860402854
502	0.5859921095
503	0.5859167099
504	0.5858590853
505	0.5857778489
506	0.585726137
507	0.5856455374
508	0.5855675952
509	0.5854540677
510	0.5854236888
511	0.5853216128
512	0.5852695039
513	0.58520308
514	0.5851473245
515	0.5850453946
516	0.5849386706
517	0.5848837438
518	0.5848402806
519	0.5847489264
520	0.5846940933
521	0.5846488649
522	0.584597109
523	0.5845045898
524	0.584383697
525	0.5843327673
526	0.5842997828
527	0.584249228
528	0.5841854146
529	0.5840748524
530	0.5839905417
531	0.5839186791
532	0.5838440452
533	0.5837621236
534	0.5836860972
535	0.5835898504
536	0.5835289478
537	0.5834521906
538	0.5833364533
539	0.5832872125
540	0.5832051867
541	0.5831041612
542	0.5829983478
543	0.5829207444
544	0.5828517062
545	0.5827415863
546	0.5826768833
547	0.5826175757
548	0.5825483121
549	0.5824930667
550	0.5824182087
551	0.5823648826
552	0.5822653741
553	0.5821888582
554	0.5821352028
555	0.582031269
