iter	Passed	Remaining
0	102	205529
1	223	223549
2	339	225677
3	448	223817
4	560	223638
5	648	215442
6	749	213351
7	834	207860
8	929	205653
9	1020	203048
10	1134	205051
11	1239	205332
12	1346	205749
13	1470	208655
14	1577	208750
15	1683	208772
16	1779	207569
17	1874	206372
18	1968	205195
19	2059	203858
20	2170	204534
21	2260	203217
22	2365	203365
23	2486	204707
24	2578	203714
25	2669	202678
26	2777	202976
27	2885	203251
28	2976	202298
29	3137	206020
30	3279	208300
31	3394	208765
32	3502	208800
33	3583	207221
34	3673	206244
35	3780	206246
36	3858	204726
37	3952	204079
38	4046	203441
39	4135	202655
40	4220	201676
41	4326	201674
42	4409	200671
43	4537	201733
44	4635	201395
45	4721	200548
46	4807	199751
47	4918	200007
48	5008	199426
49	5098	198825
50	5186	198222
51	5278	197750
52	5378	197585
53	5482	197580
54	5582	197430
55	5729	198880
56	5841	199118
57	5952	199306
58	6049	199015
59	6171	199553
60	6275	199480
61	6414	200508
62	6531	200820
63	6620	200257
64	6713	199863
65	6811	199601
66	6917	199566
67	7027	199667
68	7123	199350
69	7226	199245
70	7343	199525
71	7446	199403
72	7555	199434
73	7695	200286
74	7751	198943
75	7865	199129
76	7957	198722
77	8067	198779
78	8167	198603
79	8260	198261
80	8366	198218
81	8455	197786
82	8568	197906
83	8668	197733
84	8782	197860
85	8866	197332
86	8948	196766
87	9018	195948
88	9127	195994
89	9217	195625
90	9301	195135
91	9362	194178
92	9465	194087
93	9546	193561
94	9641	193339
95	9755	193475
96	9854	193331
97	9946	193045
98	10051	193000
99	10158	193016
100	10276	193215
101	10371	192999
102	10463	192713
103	10511	191630
104	10619	191663
105	10724	191629
106	10811	191274
107	10912	191177
108	11007	190970
109	11114	190975
110	11168	190057
111	11259	189806
112	11356	189646
113	11444	189344
114	11599	190130
115	11718	190328
116	11805	190005
117	11900	189797
118	11964	189118
119	12031	188488
120	12132	188399
121	12193	187698
122	12279	187382
123	12384	187367
124	12481	187220
125	12569	186952
126	12669	186849
127	12755	186542
128	12836	186172
129	12931	186007
130	13028	185876
131	13124	185726
132	13205	185379
133	13296	185161
134	13362	184593
135	13467	184585
136	13568	184514
137	13650	184186
138	13746	184045
139	13784	183142
140	13863	182783
141	13965	182728
142	14069	182704
143	14160	182507
144	14251	182318
145	14340	182099
